,title,originallink,link,description,pubDate
32,"가수 황가람, 데뷔 14년 만에 음원 차트 1위…&quot;올해 39세, 인생 역전의 ...",https://www.job-post.co.kr/news/articleView.html?idxno=139420,https://www.job-post.co.kr/news/articleView.html?idxno=139420,곡 '<b>나는 반딧불</b>'로 음원 차트 정상에 오르며 대중의 주목을 받고 있다. 올해 39세인 그는 힘겨운 무명 시절을 이겨내고 인생 반전을 이뤄냈다. 가수 황가람이 최근 발표한 '<b>나는 반딧불</b>'이 발매 160일 만에 주요 음원... ,"Wed, 02 Apr 2025 21:14:00 +0900"
33,45주년 제천시민의 날 행사 성료... 시민대상 시상,http://www.dynews.co.kr/news/articleView.html?idxno=796099,http://www.dynews.co.kr/news/articleView.html?idxno=796099,또 시민의 날 기념 부대행사로 아주대 김경일 교수의 명사초청 시민강연과 '<b>나는 반딧불</b>'가수 황가람의 축하무대 그리고 제천의 과거의 현재를 한눈에 볼 수 있는 사진전 등 제천시민의 날 기념 다채로운 볼거리를... ,"Wed, 02 Apr 2025 18:59:00 +0900"
34,제45주년 제천시민의 날 성료… 시민대상 3인 시상,http://www.bzeronews.com/news/articleView.html?idxno=705396,http://www.bzeronews.com/news/articleView.html?idxno=705396,"또한, 시민의 날 기념 부대행사로 아주대학교 김경일 교수의 명사초청 시민강연과 최근 &lt;<b>나는 반딧불</b>&gt;로 유명한 가수 황가람의 축하무대 그리고 제천의 과거의 현재를 한눈에 볼 수 있는 사진전 등 제천시민의 날을... ","Wed, 02 Apr 2025 18:40:00 +0900"
35,제45주년 제천시민의 날 기념행사 개최,http://www.enewstoday.co.kr/news/articleView.html?idxno=2258653,http://www.enewstoday.co.kr/news/articleView.html?idxno=2258653,"또한, 시민의 날 기념 부대행사로 아주대학교 김경일 교수의 명사초청 시민강연과 최근 '<b>나는 반딧불</b>'로 유명한 가수 황가람의 축하무대 그리고 제천의 과거의 현재를 한눈에 볼 수 있는 사진전 등 제천시민의 날을... ","Wed, 02 Apr 2025 18:10:00 +0900"
36,"제천시, 제45주년 제천시민의 날 행사 마무리… 시민대상 3인 시상",http://www.breaknews.com/1105774,http://www.breaknews.com/1105774,"또한, 시민의 날 기념 부대행사로 아주대학교 김경일 교수의 명사초청 시민강연과 최근 &lt;<b>나는 반딧불</b>&gt;로 유명한 가수 황가람의 축하무대 그리고 제천의 과거의... ","Wed, 02 Apr 2025 17:28:00 +0900"
37,"배우 정해인 앙코르 팬미팅, 팬들과의 특별한 시간을 선사하다",https://www.job-post.co.kr/news/articleView.html?idxno=139259,https://www.job-post.co.kr/news/articleView.html?idxno=139259,"스탠딩 에그의 '오래된 노래', 케빈오 &amp; 프라이머리 'Crazy', 황가람의 '<b>나는 반딧불</b>' 등 감미로운 음색으로 분위기를 물씬 채웠다. MC 유재필이 깜짝 등장한 'OUR TIME HBD' 코너에서는 선물 추첨과 함께 사진과 영상에 담긴... ","Wed, 02 Apr 2025 15:30:00 +0900"
38,"&quot;탄핵정국, 아이들은 보릿고개 넘는다” 정치에 밀린 영유아예산, 안타...",https://radio.ytn.co.kr/program/?f=2&id=101731&s_mcd=0433&s_hcd=01,https://radio.ytn.co.kr/program/?f=2&id=101731&s_mcd=0433&s_hcd=01,◇ 최효숙 : 제가 최근에 <b>나는 반딧불</b>이라는 노래를 굉장히 좋아했었는데 제가 생각을 해보니까... 그래서 내가 사랑하는 사람과 내 사랑하는 친구가 같이 사랑에 빠졌지만 난 너네들의 행복을 위해서 언제든지... ,"Wed, 02 Apr 2025 14:30:00 +0900"
39,제45주년 제천시민의 날 성황리에 마무리,https://www.inews365.com/news/article.html?no=859199,https://www.inews365.com/news/article.html?no=859199,시민의 날 기념 부대행사로 아주대학교 김경일 교수의 명사 초청 시민 강연과 최근 '<b>나는 반딧불</b>'로 유명한 가수 황가람의 축하 무대 그리고 제천의 과거와 현재를 한눈에 볼 수 있는 사진전 등 제천시민의 날을 기념해... ,"Wed, 02 Apr 2025 13:50:00 +0900"
40,제45주년 제천시민의 날 성료… 시민대상 3인 시상,http://www.shinailbo.co.kr/news/articleView.html?idxno=2030981,http://www.shinailbo.co.kr/news/articleView.html?idxno=2030981,"또한, 시민의 날 기념 부대행사로 아주대학교 김경일 교수의 명사초청 시민강연과 최근 '<b>나는 반딧불</b>'로 유명한 가수 황가람의 축하무대 그리고 제천의 과거의 현재를 한눈에 볼 수 있는 사진전 등 제천시민의 날을... ","Wed, 02 Apr 2025 13:32:00 +0900"
41,"정중식, <b>나는 반딧불</b> 비화 공개… &quot;공무원 발령 후 유튜브에 올려&quot;",https://www.topstarnews.net/news/articleView.html?idxno=15627928,https://www.topstarnews.net/news/articleView.html?idxno=15627928,'<b>나는 반딧불</b>'의 원곡자 정중식이 MBC '복면가왕'에 출연해 노래에 얽힌 비화를 밝혔다. 지난달 30일 방송된... 복면을 벗은 정중식은 자신이 중식이 밴드 보컬이자 '<b>나는 반딧불</b>' 원곡자임을 밝히며 노래가 만들어지게 된... ,"Wed, 02 Apr 2025 12:00:00 +0900"
